admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,260.0,0.4613
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,75.0,0.1331
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,71.25,0.1282
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,81.25,0.1462
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,265.0,0.4769
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,75.0,0.135
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,83.75,0.1623
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,78.75,0.1526
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,265.0,0.5135
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,80.0,0.155
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,105.0,0.2134
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,116.25,0.2363
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,260.0,0.5284
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,102.5,0.2083
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,123.75,0.2549
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,141.25,0.2909
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,260.0,0.5355
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,128.75,0.2652
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,285.0,0.587
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,151.25,0.3212
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,167.5,0.3557
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,263.75,0.5601
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,148.75,0.3159
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,275.0,0.584
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,165.0,0.3252
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,173.33,0.3416
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,263.33,0.5189
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,166.67,0.3284
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,280.0,0.5518
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,180.0,0.347
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,176.67,0.3406
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,263.33,0.5077
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,186.67,0.3599
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,286.67,0.5527
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,206.0,0.3807
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,218.0,0.4029
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,270.0,0.499
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Sorgho,KG,actual,Wholesale,XOF,222.0,0.4103
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Ble,KG,actual,Wholesale,XOF,282.0,0.5212
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Maïs,KG,actual,Wholesale,XOF,267.5,0.4917
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Mil,KG,actual,Wholesale,XOF,270.0,0.4963
Alibori,Malanville,Malanville (CBM),11.86,3.38,cereals and tubers,Riz (importé),KG,actual,Wholesale,XOF,265.0,0.4871
